GenusSpecies,Genus,Species,Family,SubOrder,body_colors,body_colortypes,body_patterns,mate_guarding,flight_mode,territoriality,continents,aquatic_habitats,climates,ecozones,habitat_openness,citations,ISBN,DOI,sex_polymorphisms,sex_dimorphisms,geo_polymorphisms,body_lengths,forewing_lengths,hindwing_lengths,has_wing_pigment,wing_pigment_extent_discrete,wing_pigment_extent_continuous,wing_pigment_pattern,wing_pigment_symmetry,wing_pigment_dimorphism,wing_pigment_color,wing_pigment_placement,wing_pigment_color_type,female_has_wing_pigment,female_wing_pigment_extent_discrete,female_wing_pigment_extent_continuous,female_wing_pigment_placement,female_body_lengths,female_hindwing_lengths,female_forewing_lengths
Chlorolestes tessellatus,Chlorolestes,tessellatus,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes tessellatus,Chlorolestes,tessellatus,Synlestidae,Zygoptera,brown,pigment,plain,NA,percher,territorial,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,monomorphic,medium,NA,53,NA,31,yes,50,0.55,NA,symmetric pigment,NA,black,mixed,pigment,no,NA,NA,NA,50,NA,NA
Chlorolestes tessellatus,Chlorolestes,tessellatus,Synlestidae,Zygoptera,green,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,NA,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prunescence,NA,structural,NA,NA,NA,NA,NA,NA,NA
Chlorolestes umbratus,Chlorolestes,umbratus,Synlestidae,Zygoptera,NA,structural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chlorolestes umbratus,Chlorolestes,umbratus,Synlestidae,Zygoptera,blue,pigment,plain,NA,percher,NA,afrika,stream,NA,afrotropical,closed,Samways (2008),9.78955E+12,NA,males,weak,monomorphic,44,NA,23,yes,75,0.6,NA,symmetric pigment,NA,brown,mixed,pigment,no,NA,NA,NA,40,NA,NA
Chlorolestes umbratus,Chlorolestes,umbratus,Synlestidae,Zygoptera,brown,pruinescence,striped,NA,NA,NA,NA,NA,NA,NA,open,Tarboton and Tarboton (2005),0-620-33878-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,prunescence,NA,structural,NA,NA,NA,NA,NA,NA,NA
Chromagrion conditum,Chromagrion,conditum,Coenagrionidae,Zygoptera,yellow,NA,NA,NA,NA,NA,NA,wetland,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chromagrion conditum,Chromagrion,conditum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chromagrion conditum,Chromagrion,conditum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chromagrion conditum,Chromagrion,conditum,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,flier,non-territorial,north america,pond,Cfa,nearctic,closed,Paulson (2009),978-0691122816,NA,females,strong,monomorphic,35,NA,23,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chromagrion conditum,Chromagrion,conditum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,percher,NA,NA,stream,Cfb,NA,open,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia albicauda,Coeliccia,albicauda,Platycnemididae,Zygoptera,black,pigment,plain,NA,percher,NA,asia,NA,Af,indomalaya,NA,Hamalainen and Pinratana (1999),9.78975E+12,NA,monomorphic,strong,NA,42.5,NA,23,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia albicauda,Coeliccia,albicauda,Platycnemididae,Zygoptera,brown,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia albicauda,Coeliccia,albicauda,Platycnemididae,Zygoptera,white,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia albicauda,Coeliccia,albicauda,Platycnemididae,Zygoptera,blue,NA,spotted,NA,NA,NA,NA,NA,Aw,NA,NA,Bun et al (2010),978-9810861551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia cyanomelas,Coeliccia,cyanomelas,Platycnemididae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia cyanomelas,Coeliccia,cyanomelas,Platycnemididae,Zygoptera,black,pigment,spotted,NA,percher,NA,asia,stream,NA,indomalaya,closed,Tze-wai et al (2011),978-988-211-399-2,NA,monomorphic,strong,NA,NA,NA,27,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,NA
Coeliccia octogesima,Coeliccia,octogesima,Platycnemididae,Zygoptera,blue,NA,spotted,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coeliccia octogesima,Coeliccia,octogesima,Platycnemididae,Zygoptera,black,pigment,plain,NA,percher,NA,asia,stream,Af,indomalaya,NA,Bun et al (2010),978-9810861551,NA,monomorphic,strong,NA,41,NA,21.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion angulatum,Coenagrion,angulatum,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,stream,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion angulatum,Coenagrion,angulatum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,wetland,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion angulatum,Coenagrion,angulatum,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,percher,NA,north america,ephemeral,BSk,nearctic,open,Paulson (2009),978-0691122816,NA,females,weak,monomorphic,30,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion angulatum,Coenagrion,angulatum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,lake,Dfa,NA,semi,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion armatum,Coenagrion,armatum,Coenagrionidae,Zygoptera,black,pigment,plain,contact,percher,NA,asia,pond,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,32,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion armatum,Coenagrion,armatum,Coenagrionidae,Zygoptera,green,structural,striped,NA,NA,NA,europe,wetland,NA,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion caerulescens,Coenagrion,caerulescens,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,afrika,river,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,NA,weak,NA,31.5,NA,17.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion caerulescens,Coenagrion,caerulescens,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,europe,stream,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion hastulatum,Coenagrion,hastulatum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,europe,lake,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,32,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion hastulatum,Coenagrion,hastulatum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,pond,NA,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion hylas,Coenagrion,hylas,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,Dfa,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,monomorphic,strong,NA,36,NA,25,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,25,NA
Coenagrion hylas,Coenagrion,hylas,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,europe,NA,NA,NA,NA,Sugimura et al (2001),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion hylas,Coenagrion,hylas,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Onzono et al (2012),9.78483E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion intermedium,Coenagrion,intermedium,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,non-territorial,europe,stream,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,females,weak,monomorphic,35.5,NA,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion intermedium,Coenagrion,intermedium,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion interrogatum,Coenagrion,interrogatum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion interrogatum,Coenagrion,interrogatum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion interrogatum,Coenagrion,interrogatum,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,percher,NA,north america,wetland,BSk,nearctic,closed,Paulson (2009),978-0691122816,NA,females,weak,monomorphic,30,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion interrogatum,Coenagrion,interrogatum,Coenagrionidae,Zygoptera,blue,NA,striped,noncontact,NA,NA,NA,NA,Dfa,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion johanssoni,Coenagrion,johanssoni,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,NA,palearctic,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,weak,NA,29,NA,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion johanssoni,Coenagrion,johanssoni,Coenagrionidae,Zygoptera,blue,structural,NA,NA,NA,NA,europe,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion lunulatum,Coenagrion,lunulatum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,32,NA,19,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion lunulatum,Coenagrion,lunulatum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,europe,pond,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion mercuriale,Coenagrion,mercuriale,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,percher,NA,europe,stream,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,monomorphic,strong,NA,29.5,NA,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion mercuriale,Coenagrion,mercuriale,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion ornatum,Coenagrion,ornatum,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,percher,NA,asia,stream,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,30.5,NA,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion ornatum,Coenagrion,ornatum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion puella,Coenagrion,puella,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,females,strong,NA,34,NA,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion puella,Coenagrion,puella,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,europe,river,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion pulchellum,Coenagrion,pulchellum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,NA,weak,NA,36,NA,20,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion pulchellum,Coenagrion,pulchellum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,europe,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion resolutum,Coenagrion,resolutum,Coenagrionidae,Zygoptera,green,NA,NA,NA,NA,NA,NA,NA,Dfc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion resolutum,Coenagrion,resolutum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion resolutum,Coenagrion,resolutum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dwb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion resolutum,Coenagrion,resolutum,Coenagrionidae,Zygoptera,black,pigment,spotted,contact,percher,NA,north america,lake,Dfa,nearctic,semi,Paulson (2009),978-0691122816,NA,NA,strong,males polymorphic,30,NA,17.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion resolutum,Coenagrion,resolutum,Coenagrionidae,Zygoptera,blue,NA,striped,NA,NA,NA,NA,wetland,Dfb,NA,NA,Paulson (2012),978-0691122830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion scitulum,Coenagrion,scitulum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,afrika,lake,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,strong,NA,31.5,NA,17,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion scitulum,Coenagrion,scitulum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,asia,river,NA,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion scitulum,Coenagrion,scitulum,Coenagrionidae,Zygoptera,NA,NA,NA,NA,NA,NA,europe,wetland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion syriacum,Coenagrion,syriacum,Coenagrionidae,Zygoptera,black,pigment,striped,contact,percher,NA,asia,lake,NA,palearctic,semi,Dijkstra and Lewington (2006),978-0953139941,NA,females,NA,monomorphic,34,NA,18,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coenagrion syriacum,Coenagrion,syriacum,Coenagrionidae,Zygoptera,blue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cora marina,Cora,marina,Polythoridae,Zygoptera,black,pigment,spotted,noncontact,percher,territorial,north america,stream,NA,nearctic,closed,Herrara (2006),9.78997E+12,NA,males,strong,NA,44,28,NA,yes,25,NA,NA,NA,NA,NA,tip,NA,NA,NA,NA,NA,40,29,NA
Cora marina,Cora,marina,Polythoridae,Zygoptera,blue,NA,striped,NA,NA,NA,south america,NA,NA,neotropical,NA,Garrison et al (2010),978-0801884467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cora marina,Cora,marina,Polythoridae,Zygoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Heckman (2008),978-94-017-1421-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster bidentata,Cordulegaster,bidentata,Cordulegastridae,Anisoptera,black,pigment,striped,none,percher,NA,afrika,stream,NA,palearctic,closed,Askew (1988),978-0946589104,NA,NA,NA,NA,73.5,NA,44,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.5,47.5,NA
Cordulegaster bidentata,Cordulegaster,bidentata,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,europe,NA,NA,NA,open,Dijkstra and Lewington (2006),978-0953139941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster bilineata,Cordulegaster,bilineata,Cordulegastridae,Anisoptera,brown,NA,striped,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster bilineata,Cordulegaster,bilineata,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster bilineata,Cordulegaster,bilineata,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster bilineata,Cordulegaster,bilineata,Cordulegastridae,Anisoptera,blue,pigment,spotted,NA,percher,NA,north america,stream,Cfa,nearctic,NA,Paulson (2012),978-0691122830,NA,monomorphic,medium,NA,61.5,NA,38.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster boltonii,Cordulegaster,boltonii,Cordulegastridae,Anisoptera,black,pigment,striped,none,percher,NA,afrika,river,NA,palearctic,closed,Dijkstra and Lewington (2006),978-0953139941,NA,NA,weak,NA,77,NA,44,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster boltonii,Cordulegaster,boltonii,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,europe,stream,NA,NA,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster diadema,Cordulegaster,diadema,Cordulegastridae,Anisoptera,yellow,NA,striped,NA,percher,NA,NA,NA,NA,neotropical,open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster diadema,Cordulegaster,diadema,Cordulegastridae,Anisoptera,black,pigment,spotted,none,flier,non-territorial,north america,stream,NA,nearctic,closed,Paulson (2009),978-0691122816,NA,monomorphic,medium,NA,81,NA,48,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster diastatops,Cordulegaster,diastatops,Cordulegastridae,Anisoptera,green,NA,striped,NA,percher,NA,NA,NA,Dfb,NA,semi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster diastatops,Cordulegaster,diastatops,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster diastatops,Cordulegaster,diastatops,Cordulegastridae,Anisoptera,black,pigment,spotted,NA,flier,NA,north america,stream,Dfa,nearctic,open,Paulson (2012),978-0691122830,NA,monomorphic,weak,NA,62,NA,39,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,brown,NA,striped,NA,percher,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Csa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Csb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dsb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster dorsalis,Cordulegaster,dorsalis,Cordulegastridae,Anisoptera,black,pigment,spotted,NA,flier,NA,north america,stream,BSh,nearctic,closed,Paulson (2009),978-0691122816,NA,monomorphic,medium,monomorphic,77.5,NA,46,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster erronea,Cordulegaster,erronea,Cordulegastridae,Anisoptera,green,NA,striped,NA,NA,NA,NA,NA,Cfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster erronea,Cordulegaster,erronea,Cordulegastridae,Anisoptera,yellow,NA,NA,NA,NA,NA,NA,NA,Dfa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster erronea,Cordulegaster,erronea,Cordulegastridae,Anisoptera,NA,NA,NA,NA,NA,NA,NA,NA,Dfb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cordulegaster erronea,Cordulegaster,erronea,Cordulegastridae,Anisoptera,black,pigment,spotted,NA,flier,territorial,north america,stream,Cfa,nearctic,closed,Paulson (2012),978-0691122830,NA,monomorphic,medium,monomorphic,70.5,NA,46.5,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
